x_m,y_m,distance_m,mean_diameter_m,cvar_diameter_m,composite_m,cost_s
698.1383585,571.327158,902.1152305,68.3317964,121.9030515,95.11742393,344.0456862
700,-570,902.7181177,68.25128445,121.7846614,95.01797295,344.0004141
700,-565,899.5693414,68.38951472,122.2950713,95.34229298,343.9115114
700,-560,896.4373932,68.53250364,122.817912,95.6752078,343.8403074
700,-555,893.3224502,68.68010146,123.3480553,96.0140784,343.7824366
700,-550,890.2246907,68.83264504,123.889342,96.36099351,343.7414179
700,-545,887.1442949,68.99014546,124.4406545,96.71539997,343.7163649
700,-540,884.0814442,69.15341351,125.0088878,97.08115067,343.7137392
700,-535,881.0363216,69.32261746,125.5986949,97.46065618,343.7375973
700,-530,878.0091116,69.49760512,126.2068552,97.85223014,343.7851639
700,-525,875,69.67841957,126.8259159,98.25216774,343.8502978
700,-520,872.0091743,69.86538833,127.4601071,98.66274769,343.9368366
700,-515,869.0368232,70.05896761,128.109885,99.0844263,344.045579
700,-510,866.0831369,70.25921404,128.7738789,99.51654649,344.1754673
700,510,866.0831369,70.25921404,128.7738789,99.51654649,344.1754673
700,515,869.0368232,70.05896761,128.109885,99.0844263,344.045579
700,520,872.0091743,69.86538833,127.4601071,98.66274769,343.9368366
700,525,875,69.67841957,126.8259159,98.25216774,343.8502978
700,530,878.0091116,69.49760512,126.2068552,97.85223014,343.7851639
700,535,881.0363216,69.32261746,125.5986949,97.46065618,343.7375973
700,540,884.0814442,69.15341351,125.0088878,97.08115067,343.7137392
700,545,887.1442949,68.99014546,124.4406545,96.71539997,343.7163649
700,550,890.2246907,68.83264504,123.889342,96.36099351,343.7414179
700,555,893.3224502,68.68010146,123.3480553,96.0140784,343.7824366
700,560,896.4373932,68.53250364,122.817912,95.6752078,343.8403074
700,565,899.5693414,68.38951472,122.2950713,95.34229298,343.9115114
700,570,902.7181177,68.25128445,121.7846614,95.01797295,344.0004141
700.5478879,-574.5472258,906.0197889,68.09600495,121.2603497,94.67817731,344.0940879
700.5478879,-506.5418884,864.4952446,70.36284033,129.1543854,99.75861287,344.2615711
700.5478879,506.5418884,864.4952446,70.36284033,129.1543854,99.75861287,344.2615711
700.5478879,574.5472258,906.0197889,68.09600495,121.2603497,94.67817731,344.0940879
702.9574173,-577.7405115,909.9083631,67.86534116,120.6250299,94.24518552,344.1497237
702.9574173,-505.094097,865.6033603,70.25410288,128.9784367,99.61626981,344.2458157
702.9574173,505.094097,865.6033603,70.25410288,128.9784367,99.61626981,344.2458157
702.9574173,577.7405115,909.9083631,67.86534116,120.6250299,94.24518552,344.1497237
705,-580,912.9211357,67.68444233,120.1379253,93.9111838,344.19528
705,-575,909.7527137,67.8106299,120.6185193,94.21457458,344.0675454
705,-570,906.6007942,67.94145935,121.1126301,94.52704473,343.9582526
705,-565,903.46555,68.07666672,121.6125766,94.84462165,343.8608111
705,-560,900.3471553,68.21671185,122.1280585,95.17238517,343.7837273
705,-555,897.2457857,68.36173647,122.6531253,95.5074309,343.7221926
705,-550,894.1616185,68.5117303,123.1881596,95.84994493,343.6765529
705,-545,891.0948322,68.66659852,123.7366399,96.20161921,343.6496656
705,-540,888.0456069,68.8265473,124.2922161,96.55938169,343.6364434
705,-535,885.0141242,68.99236428,124.8658601,96.92911221,343.6467282
705,-530,882.0005669,69.16407803,125.4587134,97.31139574,343.6815321
705,-525,879.0051194,69.34196167,126.07589,97.70892584,343.745384
705,-520,876.0279676,69.52555,126.7028704,98.1142102,343.8258264
705,-515,873.0692985,69.71545439,127.3445949,98.53002467,343.9275258
705,-510,870.1293007,69.91213419,128.0022175,98.95717583,344.0518652
705,-505,867.2081642,70.11568535,128.6757724,99.39572885,344.1989912
705,505,867.2081642,70.11568535,128.6757724,99.39572885,344.1989912
705,510,870.1293007,69.91213419,128.0022175,98.95717583,344.0518652
705,515,873.0692985,69.71545439,127.3445949,98.53002467,343.9275258
705,520,876.0279676,69.52555,126.7028704,98.1142102,343.8258264
