x_m,y_m,distance_m,mean_diameter_m,cvar_diameter_m,composite_m,cost_s
712.595535,-499.3029316,870.1125295,35.85042746,46.5017653,41.17609638,260.5183688
712.595535,499.3029316,870.1125295,35.8923422,46.5017653,41.19705375,260.5598477
712.595535,590.2541054,925.3066008,36.60694927,45.26684364,40.93689645,271.0837578
715,-590,926.9978425,36.67992868,45.44782649,41.06387759,271.6733276
715,-585,923.8235762,36.62521341,45.48246272,41.05383806,271.0186041
715,-580,920.6655202,36.57224531,45.52062895,41.04643713,270.3723449
715,-575,917.5238417,36.52106705,45.56241747,41.04174226,269.7347171
715,-570,914.3987095,36.47172274,45.60792379,41.03982326,269.1058926
715,-565,911.290294,36.42425808,45.65724681,41.04075245,268.4860486
715,-560,908.1987668,36.3787204,45.71048901,41.0446047,267.8753675
715,-555,905.1243009,36.33507485,45.76775655,41.0514157,267.2739547
715,-550,902.0670707,36.2933985,45.82915947,41.06127898,266.6820301
715,-545,899.0272521,36.25380229,45.89481188,41.07430709,266.0998516
715,-540,896.0050223,36.21634089,45.96483214,41.09058651,265.527626
715,-535,893.0005599,36.181071,46.03934303,41.11020702,264.9655665
715,-530,890.0140448,36.1480515,46.118472,41.13326175,264.4138934
715,-525,887.0456584,36.11734351,46.20235138,41.15984745,263.8728346
715,-520,884.0955831,36.08901053,46.29111861,41.19006457,263.3426254
715,-515,881.1640029,36.06311857,46.38491648,41.22401752,262.8235092
715,-510,878.251103,36.03970584,46.48389341,41.26179962,262.3157077
715,-505,875.35707,36.01883585,46.58820374,41.30351979,261.8194737
715,-500,872.4820915,36.00060784,46.69800798,41.34930791,261.335102
715,500,872.4820915,36.04446801,46.69800798,41.371238,261.3785061
715,505,875.35707,36.06294913,46.58820374,41.32557643,261.8631283
715,510,878.251103,36.08409599,46.48389341,41.2839947,262.3596362
715,515,881.1640029,36.1078341,46.38491648,41.24637529,262.8677597
715,520,884.0955831,36.13409187,46.29111861,41.21260524,263.387238
715,525,887.0456584,36.16280048,46.20235138,41.18257593,263.9178189
715,530,890.0140448,36.19389373,46.118472,41.15618287,264.459259
715,535,893.0005599,36.2273079,46.03934303,41.13332547,265.0113226
715,540,896.0050223,36.26298168,45.96483214,41.11390691,265.5737818
715,545,899.0272521,36.30085602,45.89481188,41.09783395,266.1464161
715,550,902.0670707,36.34087403,45.82915947,41.08501675,266.7290119
715,555,905.1243009,36.38298086,45.76775655,41.07536871,267.3213625
715,560,908.1987668,36.42712367,45.71048901,41.06880634,267.9232675
715,565,911.290294,36.47325146,45.65724681,41.06524914,268.5345325
715,570,914.3987095,36.52131504,45.60792379,41.06461941,269.1549692
715,575,917.5238417,36.57126692,45.56241747,41.0668422,269.784395
